	1020	1020	1020	0
	984	860	903	14
	484	476	483	1
	308	300	304	2
	264	224	240	5
	200	192	198	2
	192	160	171	3
	156	152	155	1
	148	136	146	2
	140	128	139	2
	144	128	135	2
	136	128	131	2
	136	124	129	2
	1020	1020	1020	0
	684	668	675	3
	424	372	390	5
	292	256	268	5
	228	216	222	2
	196	184	190	2
	172	164	167	1
	156	152	155	1
	152	144	149	2
	148	140	144	2
	144	136	140	2
	140	136	139	1
	140	132	137	2
	1020	1020	1020	0
	476	468	471	1
	296	288	293	2
	224	216	219	1
	188	180	183	1
	164	156	160	1
	148	140	144	2
	144	132	135	2
	132	128	131	1
	128	120	126	2
	132	120	123	2
	128	116	120	2
	120	116	119	1
	1020	1020	1020	0
	596	580	588	2
	360	356	358	2
	272	264	267	1
	232	204	215	3
	180	172	178	2
	172	148	158	3
	148	140	145	1
	148	132	139	2
	144	128	133	2
	132	124	128	2
	128	120	126	2
	132	120	123	2
	1020	1020	1020	0
	684	668	674	2
	428	396	403	4
	332	312	318	3
	256	248	251	1
	224	200	207	3
	184	180	182	2
	188	160	170	3
	172	156	163	2
	164	152	157	2
	156	152	155	1
	152	140	151	2
	152	144	148	1
	1020	1020	1020	0
	560	548	555	2
	332	320	324	2
	260	248	254	2
	200	192	196	1
	164	156	159	1
	140	136	139	1
	132	124	127	2
	124	112	122	2
	116	112	115	1
	124	108	114	2
	112	104	111	2
	112	96	107	2
	1020	1020	1020	0
	560	524	539	4
	372	336	340	5
	264	232	236	4
	192	176	183	2
	156	144	155	2
	144	132	135	2
	124	120	123	1
	120	108	112	2
	116	100	104	2
	104	100	103	1
	104	96	100	1
	100	96	99	1
	1020	1020	1020	0
	548	536	539	2
	340	320	326	3
	232	216	219	3
	172	164	171	2
	148	140	144	2
	132	124	127	1
	132	112	119	2
	112	104	108	2
	104	96	103	2
	100	92	99	1
	104	96	98	1
	100	92	96	1
